childid,age,Total_Duration_mins,Average_Duration_mins
2335,4,0.1500,0.01666667
2844,8,0.5833,0.01666667
2803,16,0.0667,0.01666667
1247,6,0.8333,0.02314815
3825,0,0.3167,0.03958333
1715,3,0.1167,0.02333333
3042,16,0.1167,0.01060606
666,5,0.2833,0.03148148
3044,16,0.0833,0.02777778
3805,6,1.1333,0.04047619
2038,10,0.3333,0.01754386
885,10,1.5333,0.01991342
273,5,0.5667,0.02361111
3278,16,0.4333,0.01444444
3120,14,0.0167,0.00833333
641,6,0.1500,0.01500000
1852,6,95.0833,2.97135417
712,7,0.2500,0.05000000
1731,7,0.2167,0.02708333
3622,5,0.1333,0.01212121
864,7,0.0667,0.02222222
1751,6,25.1833,0.24214744
1897,9,0.8833,0.03680556
472,4,4.0500,0.02812500
347,5,0.0167,0.01666667
1320,6,34.5167,0.93288288
1537,6,2.0500,0.05540541
2781,6,0.0167,0.01666667
2121,8,0.1167,0.01666667
322,5,1.0833,0.01867816
531,1,0.0333,0.01666667
2835,5,0.6167,0.02681159
3008,6,4.7500,0.03145695
3032,6,0.1333,0.01111111
3028,9,0.4000,0.02105263
1704,0,2.9667,0.02648810
3702,16,0.0833,0.04166667
2198,3,0.4333,0.03939394
817,6,0.9000,0.02142857
1270,9,0.5667,0.01888889
2880,16,0.3667,0.01594203
3350,3,2.0333,0.03765432
2501,6,0.2333,0.01944444
1160,5,0.9000,0.01267606
1560,8,0.4833,0.03222222
3093,5,0.3167,0.01055556
3231,7,0.1000,0.03333333
3898,5,0.8333,0.02380952
1763,4,0.6833,0.03416667
3563,2,5.2833,0.03569820
2234,12,72.1000,0.26410256
1319,10,0.5167,0.02152778
3673,8,0.1000,0.01428571
739,5,0.2000,0.01818182
461,2,0.5667,0.02179487
604,5,0.2667,0.01481481
608,6,0.1333,0.02222222
896,8,0.0167,0.01666667
3298,5,2.1000,0.02592593
800,6,0.1667,0.01666667
3481,5,0.3500,0.02500000
2224,8,0.2167,0.01083333
3891,3,0.0167,0.01666667
2862,16,0.1833,0.01833333
1024,3,3.2667,0.20416667
328,6,1.7833,0.03715278
2497,5,2.6500,0.02500000
1374,6,1.9667,0.01755952
1786,5,0.2667,0.01904762
2023,16,0.7000,0.01093750
1714,4,4.7000,0.02937500
2102,6,0.0833,0.02083333
1527,9,0.0333,0.01666667
1979,4,3.0000,0.02459016
2424,31,0.4500,0.01800000
2429,16,0.6000,0.02727273
1486,10,0.2333,0.01794872
2917,4,0.0833,0.00925926
3179,5,0.8000,0.02162162
1608,7,0.2833,0.00658915
1759,4,1.1500,0.04259259
3555,9,0.3167,0.00791667
1584,9,0.3000,0.01764706
2502,6,0.2167,0.02166667
2901,6,0.0833,0.01388889
2020,16,0.3167,0.01376812
1235,10,0.1000,0.01666667
2673,5,0.0167,0.01666667
3936,5,0.8000,0.01860465
731,5,0.0167,0.01666667
1799,8,7.6167,0.10578704
3191,3,1.5000,0.03750000
2415,7,0.0167,0.01666667
3475,6,0.7833,0.01910569
1793,7,0.2333,0.01794872
1469,9,0.0333,0.01666667
1200,6,0.1500,0.01875000
1390,5,1.2833,0.02333333
3925,7,0.0333,0.00416667
351,3,0.0167,0.01666667
2077,5,0.6333,0.01979167
3720,6,0.4000,0.02222222
362,4,0.4333,0.02166667
1359,4,0.6167,0.02569444
3877,5,0.1500,0.01666667
2778,5,0.1833,0.02037037
3846,5,5.7500,0.07098765
2124,7,0.3667,0.02820513
3545,4,1.9500,0.02321429
1571,3,1.5667,0.01958333
2026,16,0.8833,0.00768116
3368,4,8.9667,0.04190031
2432,3,1.3833,0.02943262
2848,16,2.1333,0.02844444
1697,10,0.0167,0.01666667
3790,4,0.4000,0.01600000
2731,6,0.5000,0.01923077
1610,6,0.0167,0.00416667
2140,5,0.4333,0.02407407
2278,2,0.0667,0.03333333
1956,6,0.2333,0.01458333
555,5,1.2333,0.02055556
2877,8,3.3500,0.01018237
2958,4,0.8167,0.02634409
2014,16,1.2667,0.01688889
1050,14,0.0500,0.01000000
3125,15,2.3167,0.01245520
2631,16,26.0500,0.29942529
2488,2,79.3167,0.58753086
3311,6,0.1500,0.00882353
1954,6,5.4167,0.12896825
890,6,1.5833,0.02473958
2183,26,14.3667,0.03063255
1331,4,1.0833,0.02166667
630,7,0.0333,0.01666667
372,7,0.0167,0.00833333
3306,9,0.2667,0.01666667
3813,5,0.5000,0.03333333
3859,5,11.8167,0.56269841
3695,16,0.1500,0.05000000
820,10,0.0167,0.00833333
3676,5,0.2833,0.01011905
2788,7,0.2667,0.01333333
1357,48,0.0833,0.02777778
2965,16,0.1667,0.02777778
1488,5,0.1333,0.01904762
2272,3,75.9833,1.16897436
2847,5,0.0333,0.00222222
1851,6,0.5000,0.01136364
3349,7,0.1333,0.01333333
1573,3,1.3000,0.02407407
2110,0,3.6833,0.02046296
1521,6,1.7333,0.01786942
2948,7,0.9333,0.01761006
653,4,0.4000,0.01904762
1543,5,2.1667,0.02610442
3036,16,0.1333,0.01904762
3046,16,0.1500,0.01363636
1353,5,4.7500,0.02461140
3660,8,0.0500,0.01250000
2814,7,1.0333,0.03229167
2943,4,0.9000,0.02142857
914,8,120.7333,1.47235772
751,5,0.4000,0.02857143
2421,15,1.2000,0.03333333
3795,6,0.3333,0.01587302
865,8,0.0500,0.01666667
321,7,0.1667,0.01388889
2027,16,0.3333,0.02222222
949,5,0.0667,0.00740741
2817,4,1.6000,0.03018868
448,3,0.0333,0.01666667
2195,4,3.9333,0.01881978
912,6,1.4833,0.01612319
300,4,0.6667,0.03921569
2942,4,0.5000,0.07142857
3140,4,0.4500,0.03000000
3424,4,0.2333,0.02916667
3291,7,0.2167,0.01969697
1322,6,316.8167,1.05254707
1974,2,1.0500,0.03088235
1244,4,4.6333,0.03195402
2181,6,1.5833,0.02683616
3109,2,0.1000,0.01250000
2816,8,0.1500,0.01875000
2238,1,5.7667,0.02081829
2334,6,1.3500,0.02327586
3800,5,0.5333,0.02318841
3671,7,0.3000,0.01875000
2669,16,0.1667,0.04166667
3831,5,1.5000,0.01351351
1910,6,0.0500,0.01666667
2905,4,1.2167,0.01962366
2735,6,0.2000,0.01818182
2705,0,0.7333,0.01496599
2536,16,0.1333,0.01481481
1020,6,0.0833,0.02777778
667,1,0.0167,0.01666667
3202,2,0.0333,0.01666667
2330,7,0.1333,0.04444444
410,8,1.2167,0.01580087
1801,4,1.2667,0.02435897
454,5,0.6333,0.04523810
832,5,0.3167,0.01979167
899,4,0.2333,0.02333333
189,6,0.2333,0.01794872
1516,5,0.8000,0.04444444
1946,12,0.5667,0.02463768
3078,16,0.0667,0.01666667
1012,5,2.6500,0.02190083
1556,4,0.0500,0.01250000
3712,6,0.4667,0.02745098
1520,3,1.0833,0.02256944
3138,6,0.0167,0.01666667
2615,9,1.4667,0.02291667
1570,6,0.1667,0.02380952
575,3,0.0167,0.01666667
2307,8,4.4333,0.55416667
3237,16,1.8167,0.02242798
2700,7,0.4833,0.02101449
2840,6,0.6333,0.01759259
2643,16,0.0667,0.00833333
3310,16,0.7833,0.04122807
3227,7,14.0333,0.12309942
2161,3,0.0333,0.01666667
1348,22,0.1833,0.01222222
2388,6,0.2000,0.01333333
887,3,0.0167,0.00555556
2920,16,21.4167,0.89236111
3050,16,0.0333,0.00277778
3370,5,0.3833,0.03194444
3470,4,0.6333,0.05757576
256,6,0.0667,0.01666667
2670,0,0.3667,0.01078431
3242,6,2.8500,0.01592179
2427,16,1.5167,0.02973856
1188,7,0.0833,0.02083333
513,5,0.1167,0.02333333
3725,5,0.0333,0.00555556
390,8,0.0333,0.01666667
3853,6,0.3167,0.02111111
3541,4,86.8000,0.07547826
3080,16,0.1167,0.01944444
2941,16,0.8000,0.02105263
1936,0,0.1000,0.01666667
1567,43,0.4333,0.03333333
466,7,0.0167,0.01666667
736,5,0.5833,0.01121795
2928,4,0.6833,0.01366667
3348,5,0.4667,0.02592593
2256,9,0.1333,0.01111111
2791,16,0.1000,0.01250000
2316,5,100.8667,0.25600677
1131,6,0.2833,0.02361111
2297,8,25.0333,0.30905350
3410,16,19.6833,0.12457806
844,6,0.0167,0.01666667
3683,2,0.0667,0.01666667
2771,5,4.8500,0.02354369
2141,5,0.8000,0.02962963
2839,9,0.0667,0.00740741
3714,29,0.8000,0.01632653
1750,39,16.7333,0.41833333
3677,5,0.9167,0.02777778
1562,3,0.6000,0.02727273
2808,8,0.1667,0.01282051
2336,4,0.9667,0.02929293
320,5,0.3500,0.03888889
1987,6,0.2333,0.01794872
1434,5,1.3000,0.02708333
3217,3,1.0167,0.02118056
735,5,0.1167,0.01944444
2463,7,0.6167,0.01989247
476,7,0.7333,0.02444444
2736,6,0.5667,0.01452991
2753,2,0.2500,0.02777778
422,7,0.0833,0.01041667
1496,5,0.1833,0.02619048
1369,9,0.0667,0.01111111
729,5,0.0333,0.01666667
2804,16,0.5333,0.01975309
200,4,0.1667,0.02083333
378,3,11.5667,2.89166667
1943,6,18.6667,1.43589744
403,3,0.0167,0.01666667
3462,16,0.4833,0.02013889
3803,16,0.0667,0.02222222
3689,3,0.0167,0.01666667
3902,5,1.3167,0.01854460
3940,6,0.1167,0.01458333
2128,6,1.3000,0.10833333
2180,5,0.8000,0.01126761
3083,16,0.0667,0.01333333
3450,6,0.7167,0.02654321
2097,0,2.2167,0.01802168
2585,8,0.7833,0.01566667
3025,3,0.2333,0.02916667
1955,6,0.7333,0.01788618
1574,4,0.8833,0.01766667
2827,16,0.2000,0.01333333
1495,3,2.9500,0.06555556
358,8,0.0833,0.02083333
1554,9,0.2833,0.03148148
317,41,233.9667,0.65720974
3122,14,0.7833,0.02797619
431,1,0.0667,0.02222222
1691,3,0.1667,0.02083333
2812,16,0.0167,0.01666667
2390,6,1.0833,0.03735632
2876,16,5.6833,0.03139963
941,6,0.4167,0.03787879
708,7,0.0333,0.01666667
3913,16,0.0333,0.01111111
651,7,28.3000,1.76875000
3591,6,0.1000,0.01000000
1402,4,7.4667,0.02715152
1596,5,0.2000,0.01333333
2133,5,0.6667,0.03333333
1776,3,0.0333,0.01666667
2836,3,0.9500,0.03518519
3594,3,0.2667,0.02424242
475,48,0.0167,0.01666667
3643,6,1.7500,0.02011494
1510,3,0.3000,0.01428571
1780,6,0.1167,0.01166667
2770,5,0.1167,0.02333333
2979,8,10.0000,0.02375297
2044,5,0.4333,0.01203704
1279,4,0.3167,0.01376812
2396,9,0.0500,0.02500000
3399,19,8.8833,0.03879185
2730,7,0.4833,0.02196970
2059,8,0.2500,0.01923077
3760,5,0.6833,0.01138889
2004,6,0.1667,0.02777778
2484,5,0.1833,0.02037037
2171,3,2.4500,0.01737589
1449,7,0.1500,0.02500000
3937,6,0.0667,0.00444444
1157,7,1.6667,0.02777778
1902,5,0.8167,0.02722222
2592,0,0.1333,0.02666667
2066,7,0.2667,0.00888889
1964,5,48.3000,0.70000000
382,6,1.2333,0.01840796
2057,7,0.6000,0.00952381
1712,0,0.2500,0.01666667
331,6,276.2000,4.52786885
1313,3,8.3833,0.32243590
380,11,0.1667,0.00925926
430,4,2.8833,0.02669753
1530,5,0.4167,0.02083333
3662,2,0.0167,0.01666667
1989,7,0.2333,0.00614035
863,5,0.4167,0.01811594
1822,8,0.3833,0.01916667
371,5,6.6167,0.16965812
995,7,0.1167,0.01666667
449,7,0.0167,0.00833333
3811,5,3.4833,0.04146825
3686,4,0.1500,0.03000000
3289,2,0.1500,0.01666667
3445,3,0.1500,0.01875000
3945,6,0.1167,0.01458333
1944,7,0.2000,0.02222222
2773,5,0.0167,0.01666667
2932,16,25.7667,2.86296296
3874,4,0.6833,0.01952381
2368,5,0.1833,0.01666667
3512,7,1.4000,0.02692308
2632,16,6.3000,0.03913043
3678,8,0.0833,0.01190476
2326,0,0.9333,0.03218391
2156,4,0.2000,0.01250000
3629,8,0.0333,0.01666667
2239,10,2.5333,0.01613588
2509,9,0.8667,0.02626263
2550,8,0.0500,0.01000000
3313,6,49.4667,0.35082742
1399,5,7.0667,0.02860999
2859,16,0.2333,0.02121212
3719,9,0.0667,0.01666667
2694,16,0.1167,0.03888889
1742,8,0.3000,0.02500000
3901,4,1.5000,0.02727273
2934,16,20.2167,0.72202381
3418,7,0.0500,0.01250000
3374,2,84.3333,0.65885417
2774,6,0.0333,0.01111111
556,5,0.0833,0.02083333
619,8,0.0500,0.01666667
3520,16,0.4167,0.01388889
3699,16,0.2167,0.02166667
3381,6,0.0667,0.01666667
2252,7,1.8833,0.01921769
3340,6,1.2833,0.06754386
399,4,29.0000,0.96666667
1118,8,0.0167,0.01666667
2900,4,0.2333,0.02333333
2776,3,2.2500,0.01859504
691,7,0.0667,0.02222222
2375,5,3.2833,0.02525641
1323,5,0.3833,0.03484848
3928,3,0.0667,0.01666667
393,4,0.0167,0.01666667
3037,16,0.7500,0.07500000
3469,10,0.0833,0.01666667
298,7,0.0833,0.01190476
2988,6,4.5500,0.15166667
2173,6,14.2000,2.02857143
392,4,0.0333,0.01666667
3809,5,1.1167,0.01127946
1179,4,1.3833,0.03640351
1995,4,4.3667,0.01796982
2575,9,1.1833,0.02629630
2782,6,0.1333,0.02222222
2721,1,1.3000,0.00977444
3394,7,0.4000,0.01333333
662,5,0.1667,0.02380952
1540,7,2.7000,0.04029851
203,5,0.4500,0.02647059
2802,16,0.2500,0.02500000
660,7,0.0833,0.02083333
3017,5,3.2500,0.02462121
972,6,0.0167,0.00833333
2517,5,1.0000,0.01666667
1536,7,1.9333,0.01726190
830,4,0.1667,0.01851852
755,5,0.2000,0.05000000
3222,6,1.9333,0.01324201
810,6,0.0333,0.00333333
3438,16,0.4500,0.02045455
2409,2,0.2167,0.05416667
3584,3,0.1333,0.02222222
2537,16,0.0333,0.01666667
2572,8,0.1833,0.04583333
3295,5,0.4000,0.00833333
3404,8,3.2000,0.01828571
1269,9,0.5167,0.01845238
707,7,0.1667,0.02083333
674,4,0.4500,0.02812500
1838,6,0.7667,0.02738095
2689,7,1.0167,0.01037415
1037,5,0.1667,0.01515152
1416,6,0.2000,0.04000000
194,5,0.0167,0.01666667
3378,3,1.0833,0.02642276
238,3,0.0667,0.01111111
1246,8,0.4500,0.03214286
3460,6,0.0667,0.01111111
2395,9,0.3000,0.01666667
491,8,0.0167,0.00555556
2098,0,0.2667,0.05333333
1767,5,0.1500,0.01250000
3788,4,0.8833,0.02523810
1990,6,6.1000,0.10892857
2430,3,0.1667,0.02777778
3640,9,3.4833,0.02977208
2806,16,0.5000,0.00980392
3524,5,0.2500,0.03125000
797,6,1.0667,0.03137255
2137,5,1.1500,0.04107143
561,5,9.8333,0.06469298
1382,1,19.8833,0.13618721
743,5,0.0167,0.01666667
3602,7,30.7833,0.18107843
3077,16,0.4000,0.02000000
1129,7,1.7833,0.04053030
524,7,0.1500,0.01363636
999,4,0.3333,0.00980392
1336,6,0.1500,0.01500000
1150,6,0.3000,0.03333333
779,6,0.6167,0.04111111
2860,16,0.2667,0.01777778
2923,16,0.5000,0.01351351
2879,7,0.1333,0.01666667
2370,6,0.1000,0.01666667
2849,3,4.2500,0.02135678
3071,6,0.8000,0.01095890
3557,4,0.2500,0.01923077
2716,8,0.6833,0.01485507
3847,5,0.6333,0.02043011
2419,6,4.1000,0.02440476
2769,8,1.8167,0.04224806
3938,7,0.6167,0.02055556
2618,16,1.8667,0.02522523
1262,6,0.9167,0.01238739
3124,14,1.3500,0.01626506
1034,4,0.3667,0.01182796
2208,3,1.2667,0.07916667
3799,5,57.4000,0.94098361
1549,6,0.5667,0.02179487
3434,8,0.2667,0.04444444
2571,6,0.0500,0.02500000
1880,3,0.8500,0.02179487
2455,5,0.3167,0.01862745
2391,6,1.1500,0.03593750
276,5,0.3833,0.02738095
582,4,0.0833,0.02083333
3871,9,0.1333,0.02222222
2590,11,0.0167,0.00555556
749,5,0.0333,0.01666667
1032,42,0.0500,0.01250000
3345,4,0.0167,0.01666667
685,7,0.0667,0.02222222
3787,4,0.0500,0.00714286
3303,2,0.2667,0.03809524
3552,0,0.1500,0.02142857
2155,5,25.8833,0.31954733
569,4,0.0167,0.00416667
2053,6,0.2000,0.01000000
2790,2,0.2000,0.02222222
1792,7,1.9500,0.02031250
2492,4,1.1000,0.03333333
1725,7,0.4667,0.02456140
3324,16,0.1833,0.00964912
1818,5,0.3833,0.02395833
2544,5,0.0500,0.01250000
2711,6,0.4333,0.04333333
1172,6,0.9000,0.01800000
939,7,1.7500,0.01100629
1358,1,0.1500,0.01363636
935,8,0.1833,0.02291667
1275,9,0.2167,0.01805556
269,4,3.9167,0.01910569
1468,3,0.0833,0.01190476
3375,0,0.0500,0.01250000
2888,16,0.4667,0.02745098
3361,0,3.9333,0.04627451
2650,33,0.3500,0.01750000
1004,19,0.0167,0.01666667
580,15,0.0333,0.01111111
740,5,0.2167,0.03611111
3297,6,1.5833,0.02878788
2648,5,21.5500,0.43979592
650,6,0.4000,0.01818182
523,1,0.1000,0.01000000
3544,10,9.3500,0.02006438
386,6,0.0167,0.01666667
3414,3,0.0833,0.01666667
1306,10,0.2667,0.02051282
3269,7,0.2000,0.01818182
314,7,0.0333,0.01666667
2054,4,0.3667,0.02291667
2929,5,0.3500,0.01346154
1724,3,0.0167,0.01666667
1997,32,0.2167,0.00942029
289,4,0.5833,0.02333333
1808,4,0.2000,0.02222222
1940,6,0.0500,0.01666667
2961,4,1.9167,0.02309237
292,5,0.0500,0.02500000
2108,0,4.6000,0.01270718
3703,16,0.5333,0.02807018
2895,0,1.3000,0.03250000
2194,6,0.2833,0.01574074
2472,16,0.1000,0.01666667
2135,5,0.9667,0.03222222
1332,8,0.1167,0.01944444
2149,5,1.2333,0.03008130
356,6,0.2167,0.01444444
2995,4,3.5333,0.02872629
2250,7,0.0500,0.01250000
3717,7,1.5667,0.01740741
903,6,0.5000,0.02631579
1467,6,1.7167,0.02019608
3698,16,0.4167,0.02604167
3112,6,0.2667,0.04444444
3335,7,8.4333,0.17569444
1169,4,2.4000,0.04800000
583,6,0.1167,0.00897436
3235,16,0.2167,0.00698925
872,6,0.0167,0.01666667
2049,6,0.4500,0.01551724
2112,5,0.1000,0.03333333
839,5,0.7333,0.01929825
477,8,0.0333,0.01666667
1347,6,0.1667,0.02083333
2092,6,102.8333,0.61210317
3810,4,0.3833,0.01916667
2154,7,1.2667,0.01583333
2079,11,0.2833,0.02361111
2441,13,1.2500,0.02232143
3482,5,11.5667,0.21823899
2970,7,3.6667,0.02025783
2793,16,0.1833,0.02619048
1693,0,2.1167,0.19242424
2288,9,1.0833,0.01593137
2828,6,0.4000,0.02352941
1565,4,0.5333,0.01269841
3443,3,0.3833,0.01742424
2123,6,0.1500,0.01363636
3213,6,0.5500,0.02115385
2775,16,0.0667,0.01333333
3547,6,23.1833,0.33119048
1703,5,0.1000,0.02500000
595,6,0.5167,0.01666667
3253,5,0.3167,0.01979167
1849,6,0.1833,0.00763889
2717,3,1.5167,0.09479167
554,4,0.4333,0.03611111
1524,9,0.2000,0.01428571
214,6,0.9000,0.02727273
748,5,0.5333,0.02222222
702,33,0.4167,0.01302083
1713,3,0.0833,0.02083333
299,5,1.2833,0.03377193
577,4,1.9833,0.03742138
1884,6,0.3167,0.01172840
2940,6,2.0833,0.02062706
3780,5,0.0167,0.01666667
1470,4,1.0833,0.03095238
3581,6,0.7833,0.00767974
1720,10,0.0667,0.00952381
840,6,1.1000,0.01864407
1930,4,0.9833,0.02234848
617,6,0.0333,0.01666667
2315,7,1.0833,0.01692708
1966,6,0.1333,0.01666667
511,10,0.0333,0.01666667
1905,5,0.5333,0.02051282
2930,6,0.2000,0.01818182
960,6,1.0833,0.01484018
426,12,0.0167,0.00833333
2978,5,0.4333,0.01805556
1576,6,0.2167,0.00773810
3855,4,1.3167,0.02633333
2005,6,0.3167,0.01759259
922,9,0.2167,0.01547619
3015,3,0.3000,0.02142857
1233,6,0.0667,0.01666667
2594,3,0.0833,0.02083333
3812,5,0.8167,0.02268519
1594,5,0.1333,0.01333333
1485,6,0.4833,0.01342593
688,6,0.2167,0.05416667
2984,3,0.0167,0.00833333
3367,5,0.7000,0.02333333
1856,6,0.2333,0.01944444
1215,8,0.2333,0.01228070
396,5,3.4333,0.02524510
3219,16,0.0500,0.01666667
2019,16,1.2833,0.00987179
1891,5,0.8167,0.02722222
1825,6,0.1333,0.01904762
1844,6,0.2833,0.01888889
2882,5,0.4000,0.02000000
258,6,0.1333,0.01904762
1317,6,7.5500,0.14803922
376,6,0.2833,0.03148148
2384,6,0.3167,0.01862745
3169,7,0.1500,0.02500000
750,5,0.4500,0.04090909
963,6,0.9833,0.03933333
1736,7,0.1667,0.01666667
1440,5,25.8167,1.29083333
409,6,0.1000,0.01666667
3365,7,1.4500,0.02416667
2299,0,1.1333,0.02833333
2442,6,2.1667,0.02006173
1889,9,0.2000,0.01052632
2959,6,12.8500,0.27934783
293,4,1.2000,0.03750000
2772,7,504.8000,15.77500000
3342,7,1.5333,0.03006536
2082,5,0.5000,0.01086957
3001,9,4.7000,0.03983051
3716,6,0.8667,0.03209877
2568,8,0.1333,0.01666667
1899,3,0.0833,0.00833333
2857,16,0.7333,0.02222222
3153,4,1.4333,0.03412698
994,4,3.0667,0.02920635
925,7,1.3000,0.01805556
3148,4,0.1833,0.01527778
3074,16,0.1000,0.00833333
762,4,706.5833,2.69688295
1862,7,0.2667,0.01777778
3308,16,1.2833,0.01565041
327,5,0.0667,0.02222222
2645,7,0.9833,0.01384977
1500,5,0.5333,0.00634921
3355,5,1.2000,0.03529412
284,4,0.4167,0.02604167
199,4,0.3333,0.02380952
3565,5,0.1167,0.01944444
3241,6,0.4167,0.02314815
1375,5,1.1167,0.03489583
878,8,0.8667,0.01843972
1415,6,1.2667,0.02076503
407,4,0.0333,0.01666667
416,8,0.0167,0.01666667
1578,6,191.5333,3.61383648
1120,4,1.4000,0.02153846
3796,3,1.0833,0.02210884
1334,7,0.1000,0.05000000
2933,16,0.4500,0.01666667
3012,4,0.0167,0.01666667
3726,9,0.1833,0.00916667
2025,16,0.7167,0.01214689
2696,16,0.2667,0.01403509
2070,7,1.2833,0.01051913
1391,5,1.0500,0.01750000
1752,3,0.0833,0.01666667
754,5,0.2833,0.02361111
3220,3,0.2500,0.02272727
1010,4,0.5000,0.02500000
252,4,0.1833,0.01309524
2105,5,10.7667,0.59814815
1553,5,1.4333,0.03675214
752,5,0.4000,0.02500000
3354,7,0.4500,0.03461538
2313,8,4.3833,0.01475870
1272,9,0.8667,0.02063492
350,3,1.2000,0.03636364
3199,4,0.0500,0.01000000
2665,16,0.2000,0.02500000
3600,2,0.3833,0.02129630
709,7,0.2000,0.01176471
2410,6,0.3667,0.01466667
1986,3,0.0500,0.01666667
1809,6,114.3833,0.21103936
3221,5,0.1833,0.00611111
377,3,1.2833,0.03468468
1418,5,7.0667,0.17666667
3396,5,0.8500,0.01700000
809,1,0.8833,0.01077236
2301,8,0.9000,0.02368421
3334,11,2.2833,0.03870056
3682,5,0.2000,0.01666667
1864,4,50.5667,0.31213992
1186,7,0.0667,0.01666667
2685,11,766.8000,8.52000000
2096,7,0.0500,0.01000000
3459,6,5.9000,0.02226415
2810,4,0.6667,0.01904762
2863,16,0.0333,0.01666667
3806,4,0.7833,0.03730159
1411,4,0.3000,0.03333333
3069,16,0.0833,0.00595238
683,9,0.0667,0.01666667
2936,16,24.1667,0.34037559
1845,6,0.1833,0.02291667
1734,7,1.0167,0.02541667
1124,1,0.0500,0.01666667
3618,2,3.2000,0.35555556
1280,4,0.0333,0.01111111
3862,6,0.5500,0.01122449
3408,2,0.4500,0.00789474
901,8,1.8833,0.01569444
2672,8,0.5333,0.01777778
3818,16,0.0167,0.01666667
532,5,3.1167,0.01326241
3888,5,0.4167,0.01666667
2348,3,0.1167,0.01944444
3464,16,0.6167,0.01868687
2622,16,5.2167,0.04458689
2400,5,0.1333,0.02222222
3844,8,0.4333,0.02166667
2438,4,550.9333,3.85268065
1600,5,0.0500,0.02500000
3018,7,0.2667,0.00919540
521,9,0.2333,0.02333333
2090,7,2.6000,0.01566265
1692,0,79.4333,0.60636132
1794,5,0.0667,0.03333333
3916,3,0.8833,0.02523810
3233,4,1.6333,0.02916667
3771,6,0.2000,0.01250000
2369,16,0.1333,0.00666667
394,8,0.0167,0.01666667
567,1,0.1000,0.01666667
3692,6,0.0167,0.01666667
2383,6,0.4500,0.02500000
581,38,0.0333,0.01666667
2899,5,1.4167,0.02053140
1586,6,1.6000,0.01290323
346,7,0.1167,0.01944444
2114,4,0.2500,0.02500000
520,7,0.0500,0.01250000
2799,16,0.4167,0.00886525
3946,6,0.3500,0.01944444
2083,6,0.0333,0.01666667
1588,6,0.4833,0.01464646
2209,4,0.8333,0.03623188
2042,4,3.0333,0.03939394
3294,16,0.0167,0.01666667
1462,7,0.0500,0.01000000
1830,5,1.0333,0.03131313
355,10,0.0167,0.01666667
2911,6,0.5500,0.01486486
2723,4,0.5500,0.00820896
2903,3,0.3000,0.01875000
2963,3,5.3000,0.03464052
2456,3,0.1500,0.03750000
3606,16,2.0167,0.03055556
3775,5,0.8500,0.06538462
2414,7,0.2500,0.03571429
3737,4,1.6000,0.02539683
2425,31,0.0667,0.00952381
3332,3,35.3500,0.40632184
3284,3,0.6333,0.02345679
3200,4,0.0167,0.01666667
3789,4,0.6000,0.01463415
3363,16,0.5500,0.01195652
2727,6,0.2167,0.00942029
2856,16,0.3333,0.01515152
3216,4,0.2500,0.02777778
2915,12,0.1833,0.06111111
467,6,0.1833,0.02619048
2748,16,0.0167,0.01666667
1497,7,0.0833,0.00396825
534,6,0.4667,0.01866667
2283,24,1.3000,0.01074380
3049,16,0.0167,0.01666667
1333,4,2.1333,0.02269504
1885,9,0.1000,0.01666667
606,13,1.0333,0.01291667
1952,5,0.2167,0.01354167
3312,6,0.4500,0.05000000
665,5,0.0667,0.01666667
2919,16,0.5167,0.01845238
2093,6,0.8167,0.01775362
1935,5,0.0667,0.01666667
3411,16,7.8833,0.06461749
2035,7,0.1833,0.02291667
1541,2,29.4500,0.09231975
1542,6,0.8167,0.02268519
2067,7,0.2000,0.00769231
2182,7,0.1000,0.03333333
1790,8,12.7667,0.02386293
2801,16,0.1667,0.01041667
3603,2,2.5500,0.02276786
3341,6,1.2500,0.01302083
253,7,0.6500,0.02096774
2050,6,0.6667,0.02150538
3054,5,1.8000,0.20000000
1963,6,4.9500,0.17678571
3614,4,1.8167,0.01953405
1609,6,2.1333,0.03091787
1274,9,0.1167,0.01944444
1579,5,0.4667,0.02745098
3426,4,1.0667,0.02807018
1276,4,0.9667,0.02612613
1926,8,4.7500,0.21590909
2623,16,2.9167,0.01576577
2807,16,0.2667,0.00606061
1920,5,192.5333,2.56711111
1506,8,0.3000,0.02307692
1036,4,0.1500,0.01666667
3758,4,0.0333,0.01666667
1996,5,1.1000,0.01833333
3769,4,0.1500,0.02142857
898,5,0.4000,0.02105263
265,6,0.0667,0.02222222
2385,6,0.5333,0.02318841
1193,6,0.1167,0.02333333
3192,7,0.9667,0.02685185
3079,16,0.0333,0.01666667
3808,7,0.5833,0.01944444
374,5,0.6000,0.07500000
1958,6,0.5167,0.02460317
211,5,1.3667,0.02102564
1487,6,1.0000,0.03846154
1328,2,0.3167,0.05277778
2188,6,0.5000,0.02500000
3848,5,0.2000,0.01818182
1919,6,0.5167,0.01666667
2433,5,0.4000,0.02105263
3791,4,0.2167,0.00656566
2764,4,0.2000,0.01538462
2030,6,0.3167,0.00673759
2199,3,0.9500,0.02500000
2725,8,0.2833,0.01666667
3417,3,0.9167,0.03819444
1953,4,144.3667,3.13840580
1473,3,0.5500,0.01718750
3130,5,2.3333,0.01741294
1581,5,1.1167,0.05583333
1250,8,0.1000,0.05000000
3111,6,0.0833,0.01190476
734,5,0.2833,0.02023810
3089,4,0.6833,0.01265432
3285,4,0.1000,0.02500000
