childid,age,Total_Duration_mins,Average_Duration_mins
2317,2,16.0000,0.20253165
1548,0,0.7500,0.02884615
1558,0,0.2000,0.04000000
2354,5,2.9333,0.05146199
3688,6,1.4667,0.04888889
3359,7,1.7000,0.02833333
3087,5,0.0833,0.08333333
1437,5,0.1500,0.05000000
3718,6,0.1833,0.02619048
2473,16,0.0833,0.08333333
3792,16,0.9167,0.06111111
1381,6,0.2667,0.08888889
2967,16,0.1500,0.07500000
1890,9,1.1500,0.08214286
1769,3,0.0833,0.08333333
1660,3,0.0833,0.08333333
3819,3,0.0833,0.08333333
2449,1,0.3667,0.03666667
3778,4,2.9500,0.04682540
3751,6,0.2667,0.00987654
3879,4,1.3000,0.03714286
3883,2,0.0667,0.06666667
3721,5,0.0667,0.06666667
3300,5,0.8667,0.05416667
3110,16,0.1333,0.01904762
2712,5,0.5833,0.08333333
2891,16,0.2500,0.03125000
1758,0,0.0667,0.06666667
2794,16,0.3833,0.01597222
2503,6,0.1000,0.05000000
3039,16,0.2333,0.04666667
1209,3,1.5833,0.03958333
2227,3,2.1000,0.07777778
525,4,0.0667,0.06666667
3364,17,1.0000,0.04545455
3516,5,1.4500,0.02843137
2158,7,0.6333,0.01919192
3647,3,4.7833,0.06737089
3070,16,0.2167,0.04333333
3876,3,0.5000,0.02380952
1214,9,0.1500,0.03000000
1599,5,0.3167,0.00959596
3776,5,0.6167,0.04743590
720,5,0.7667,0.04259259
3085,6,0.1333,0.06666667
3834,9,0.5333,0.02962963
1753,4,0.0667,0.06666667
2338,6,1.0000,0.05882353
2679,5,0.1333,0.06666667
1199,6,0.1167,0.03888889
3666,7,0.8000,0.02222222
2993,16,4.8333,0.02876984
1389,4,1.4833,0.08725490
2566,2,0.8333,0.05952381
3379,5,1.2167,0.04506173
3658,6,0.3833,0.02948718
2749,16,0.9333,0.06222222
1425,9,0.0667,0.03333333
2360,4,0.8333,0.02192982
1583,0,0.3167,0.03518519
2720,5,0.4000,0.02500000
2001,43,1.3667,0.04141414
1241,6,0.5667,0.02833333
3230,7,0.7000,0.02916667
2458,4,0.9833,0.04275362
3114,4,0.6167,0.05606061
2642,8,0.6000,0.01714286
3287,5,0.2500,0.06250000
263,4,0.8500,0.04250000
2966,16,0.0667,0.06666667
2302,5,2.1833,0.02079365
2747,16,0.1667,0.08333333
1784,5,0.0667,0.06666667
695,5,0.7000,0.02592593
3669,2,0.0667,0.06666667
3947,6,0.7500,0.04687500
1777,4,2.4333,0.05658915
2881,6,0.1500,0.07500000
700,7,0.2500,0.04166667
3884,0,0.1333,0.06666667
3327,4,0.1167,0.05833333
1796,5,24.0833,0.30876068
557,7,100.3167,11.14629630
828,29,0.0667,0.06666667
3263,5,0.5167,0.10333333
1422,12,0.0667,0.06666667
3587,6,0.2667,0.06666667
2268,8,0.1667,0.02380952
411,4,0.1500,0.03750000
2626,16,0.9333,0.02121212
2373,2,0.0667,0.06666667
3679,0,7.5000,0.01592357
2745,16,1.0000,0.04166667
1197,6,0.1000,0.03333333
3279,6,2.5833,0.02663230
2981,14,131.7167,0.32929167
3403,8,0.2000,0.05000000
1141,10,0.0667,0.06666667
3632,7,0.6333,0.02345679
2796,16,0.4500,0.03000000
866,6,0.2500,0.08333333
883,4,0.1333,0.02666667
3842,3,0.5833,0.02916667
1438,6,2.2333,0.03602151
1431,5,2.4667,0.01761905
361,6,0.1833,0.04583333
1183,7,0.0667,0.06666667
2012,16,0.8500,0.01491228
2676,5,0.1333,0.06666667
3007,6,1.8000,0.02045455
3090,6,0.3333,0.01282051
3923,16,0.2000,0.06666667
2378,2,0.0667,0.06666667
3267,5,1.3833,0.03640351
2366,6,0.6833,0.02440476
499,6,0.1167,0.03888889
1869,6,0.7000,0.02333333
1957,5,0.6000,0.01034483
2229,6,0.3500,0.11666667
3176,8,1.7000,0.05151515
1906,5,0.6833,0.03253968
2837,5,0.0667,0.06666667
1452,10,0.1000,0.05000000
2690,6,0.6333,0.05277778
1918,5,0.9000,0.04500000
3453,5,0.0667,0.06666667
2688,6,1.8333,0.03594771
339,3,0.3833,0.03484848
2440,5,0.9000,0.03461538
2147,5,0.7667,0.03194444
2377,6,0.3667,0.01833333
2825,6,27.1000,0.09475524
1225,3,0.3667,0.04583333
402,5,0.0500,0.05000000
672,4,0.2833,0.03541667
3851,3,2.4167,0.06041667
3685,7,0.9000,0.02812500
1837,6,0.3000,0.02307692
1928,2,0.1000,0.03333333
3063,16,0.2167,0.05416667
2534,16,0.0667,0.03333333
3549,16,0.7833,0.03916667
1493,2,0.5833,0.02916667
2459,5,2.2833,0.02537037
537,4,0.3000,0.02142857
2314,8,0.2500,0.03125000
3897,4,0.1167,0.03888889
1947,16,0.1000,0.05000000
3091,10,0.3000,0.01875000
3706,16,0.1167,0.02333333
3094,5,0.1833,0.03666667
2146,5,0.7500,0.01875000
3621,3,22.7667,0.10638629
3439,5,0.4333,0.03095238
337,7,3.5000,0.03431373
400,4,1.6333,0.03024691
3826,4,2.6833,0.04878788
2132,3,0.0500,0.05000000
2570,7,0.9000,0.02250000
3927,2,0.2167,0.03611111
2490,2,0.1333,0.02666667
2668,16,0.2333,0.03333333
1171,8,0.2667,0.02666667
3556,2,0.3667,0.02291667
2910,0,0.9333,0.04057971
1045,14,2.8167,0.01794055
1800,3,55.4667,0.28444444
3480,5,0.5000,0.03571429
744,5,0.5833,0.05833333
1603,5,0.3500,0.01750000
1159,5,0.3333,0.02777778
2428,16,1.5500,0.02313433
1343,7,0.6667,0.01754386
2218,8,0.3333,0.02777778
3380,5,4.3667,0.03096927
2902,10,0.2667,0.01333333
3858,4,3.6167,0.04636752
3839,5,0.1167,0.03888889
1251,7,0.1833,0.04583333
2099,5,0.6167,0.06166667
2494,10,0.0500,0.05000000
3558,4,1.8833,0.04094203
2474,16,0.2333,0.02592593
326,4,0.5333,0.02807018
3674,3,0.3667,0.03333333
1561,3,0.3667,0.02156863
2886,3,0.2000,0.02857143
2542,7,0.0500,0.05000000
2143,5,1.9333,0.04957265
687,6,0.3167,0.06333333
318,5,0.9000,0.01111111
3277,2,0.1333,0.01666667
2738,6,0.1833,0.03055556
3344,8,0.3167,0.03958333
1707,6,0.4167,0.04166667
2015,16,0.7167,0.02239583
246,13,80.4167,0.05561319
1718,9,0.0500,0.05000000
1694,0,20.9167,1.10087719
2341,6,1.9000,0.02794118
2210,5,2.3833,0.03177778
741,5,0.8667,0.01925926
706,7,0.1667,0.05555556
2865,16,0.9667,0.02196970
3867,3,0.5667,0.05151515
1823,4,0.1000,0.05000000
3747,16,1.4333,0.02756410
188,5,0.2833,0.04722222
3738,5,0.6167,0.03083333
2674,4,0.0500,0.05000000
357,5,0.4167,0.02450980
2329,8,0.9167,0.07051282
3773,2,0.0500,0.05000000
3664,3,0.1000,0.05000000
3828,4,1.3667,0.03333333
1983,8,0.1000,0.05000000
2222,5,5.8500,0.05318182
1770,8,0.0500,0.02500000
2389,6,96.7333,4.83666667
3062,6,0.2167,0.05416667
464,7,28.3833,4.73055556
546,5,0.9667,0.06444444
1412,4,3.0500,0.03961039
2434,8,0.3167,0.06333333
412,7,0.1500,0.07500000
684,6,0.2167,0.02407407
3441,6,0.0500,0.01250000
2420,6,5.0833,0.02529022
1848,6,0.2833,0.01180556
3536,5,0.0500,0.05000000
3560,4,3.4000,0.02222222
1242,4,21.2833,0.14094923
1163,3,0.3333,0.04166667
3761,4,0.8000,0.03333333
3337,4,0.2667,0.03333333
1420,6,1.2000,0.02857143
375,7,0.8167,0.07424242
